"label_id","label","description_ko","total","train","test"
"0","unknown","무관/일상질의","250","200","50"
"68","go_hearbe","히어비 홈페이지로 이동","250","200","50"
"69","search_products","상품 검색","250","200","50"
"70","click_order_history","주문내역 조회 클릭","250","200","50"
"71","click_cart","장바구니 조회 클릭","250","200","50"
"72","click_login","로그인 클릭","250","200","50"
"73","click_logout","로그아웃 클릭","250","200","50"
"74","read_current_page_actions","현재 페이지 정보 읽기","250","200","50"
"75","read_search_results","검색 결과 읽기","250","200","50"
"76","select_search_result","검색 결과 선택","250","200","50"
"77","read_product_info","상품 정보 읽기","250","200","50"
"78","update_product_option","상품 옵션 수정","250","200","50"
"79","click_add_to_cart","장바구니에 담기","250","200","50"
"80","click_buy_now","구매하기 클릭","250","200","50"
"81","read_reviews","리뷰 읽기","250","200","50"
"82","click_wishlist","찜하기","250","200","50"
"83","read_cart_items","장바구니 상품 읽기","250","200","50"
"84","select_cart_item","상품 선택","250","200","50"
"85","unselect_cart_item","상품 해제","250","200","50"
"86","adjust_item_quantity","상품 수량 조절","250","200","50"
"87","read_order_amount","주문 금액 읽기","250","200","50"
"88","read_payment_order_info","주문 정보 읽어주기","250","200","50"
"89","submit_payment","결제하기","250","200","50"
"91","read_order_detail","주문 상세 정보 읽기","250","200","50"
"92","click_track_delivery","배송조회 클릭","250","200","50"
"93","request_exchange_return","교환 및 반품 신청","250","200","50"
"94","delete_order_history","주문내역 삭제","250","200","50"
"95","read_option_info","옵션 정보 읽기","250","200","50"
