"label_id","label","description_ko","total","train","test"
"0","unknown","무관/일상질의","450","360","90"
"68","go_hearbe","히어비 홈페이지로 이동","300","240","60"
"69","search_products","상품 검색","300","240","60"
"70","click_order_history","주문내역 조회 클릭","300","240","60"
"71","click_cart","장바구니 조회 클릭","300","240","60"
"72","click_login","로그인 클릭","300","240","60"
"73","click_logout","로그아웃 클릭","300","240","60"
"74","read_current_page_actions","현재 페이지 정보 읽기","300","240","60"
"75","read_search_results","검색 결과 읽기","300","240","60"
"76","select_search_result","검색 결과 선택","300","240","60"
"77","read_product_info","상품 정보 읽기","300","240","60"
"78","update_product_option","상품 옵션 수정","300","240","60"
"79","click_add_to_cart","장바구니에 담기","300","240","60"
"80","click_buy_now","구매하기 클릭","300","240","60"
"81","read_reviews","리뷰 읽기","300","240","60"
"82","click_wishlist","찜하기","300","240","60"
"83","read_cart_items","장바구니 상품 읽기","300","240","60"
"84","select_cart_item","상품 선택","300","240","60"
"85","unselect_cart_item","상품 해제","300","240","60"
"86","adjust_item_quantity","상품 수량 조절","300","240","60"
"87","read_order_amount","주문 금액 읽기","300","240","60"
"88","read_payment_order_info","주문 정보 읽어주기","300","240","60"
"89","submit_payment","결제하기","300","240","60"
"91","read_order_detail","주문 상세 정보 읽기","300","240","60"
"92","click_track_delivery","배송조회 클릭","300","240","60"
"93","request_exchange_return","교환 및 반품 신청","300","240","60"
"94","delete_order_history","주문내역 삭제","300","240","60"
"95","read_option_info","옵션 정보 읽기","300","240","60"
